"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test user creation with Unicode and special characters.","157","test_create_user_with_unicode_and_special_chars[SPECIAL_CHARS-Jos\xe9 Mar\xeda O'Connor-Smith]","tests","Tue Sep 30 01:19:05 UTC 2025","passed","Tue Sep 30 01:19:05 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test registration with empty JSON payload returns error.","162","test_register_with_empty_payload_returns_error","tests","Tue Sep 30 01:19:19 UTC 2025","passed","Tue Sep 30 01:19:19 UTC 2025","TestAuthentication","test_api_endpoints","",""
"Test user creation with empty string (should fail validation).","154","test_create_user_with_empty_string","tests","Tue Sep 30 01:19:07 UTC 2025","passed","Tue Sep 30 01:19:07 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with Unicode and special characters.","159","test_create_user_with_unicode_and_special_chars[UNICODE_CHARS-\u5f20\u4e09\u674e\u56db]","tests","Tue Sep 30 01:19:06 UTC 2025","passed","Tue Sep 30 01:19:06 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test user creation with various invalid data scenarios.","161","test_create_user_invalid_data[test_case1]","tests","Tue Sep 30 01:19:04 UTC 2025","passed","Tue Sep 30 01:19:04 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test that user creation responds within acceptable time.","161","test_create_user_response_time","tests","Tue Sep 30 01:19:22 UTC 2025","passed","Tue Sep 30 01:19:22 UTC 2025","TestPerformance","test_api_endpoints","",""
"Test successful user deletion.","158","test_delete_existing_user","tests","Tue Sep 30 01:19:14 UTC 2025","passed","Tue Sep 30 01:19:14 UTC 2025","TestUserDeletion","test_api_endpoints","",""
"Test users list endpoint.","175","test_get_users_list","tests","Tue Sep 30 01:19:07 UTC 2025","passed","Tue Sep 30 01:19:08 UTC 2025","TestUserRetrieval","test_api_endpoints","",""
"Test successful user creation with valid data.","367","test_create_user_with_valid_data","tests","Tue Sep 30 01:19:03 UTC 2025","passed","Tue Sep 30 01:19:03 UTC 2025","TestUserCreation","test_api_endpoints","",""
"Test successful user registration with valid email and password returns a token.","157","test_register_with_valid_data_returns_token","tests","Tue Sep 30 01:19:17 UTC 2025","passed","Tue Sep 30 01:19:18 UTC 2025","TestAuthentication","test_api_endpoints","",""
